1	0
0.9972	0.00333
0.99187	0.00839
0.98689	0.0126
0.98075	0.01692
0.97339	0.02127
0.96293	0.0266
0.9537	0.0308
0.94176	0.03581
0.92548	0.04204
0.91053	0.04728
0.88969	0.05399
0.87178	0.05924
0.84496	0.06638
0.81744	0.07305
0.78334	0.08061
0.74802	0.08779
0.71868	0.09328
0.68153	0.09976
0.65038	0.10483
0.61072	0.11087
0.59071	0.11368
0.56407	0.1172
0.53542	0.12074
0.50578	0.12419
0.47863	0.12718
0.44641	0.13039
0.4161	0.13304
0.38752	0.13509
0.35962	0.13665
0.32854	0.13771
0.29648	0.13794
0.26356	0.13679
0.23263	0.13393
0.21283	0.13114
0.19561	0.12802
0.17473	0.12336
0.15733	0.11868
0.14032	0.11348
0.12497	0.10819
0.11009	0.10247
0.0955	0.09613
0.08018	0.08863
0.068	0.08199
0.04897	0.07
0.03568	0.05999
0.02846	0.05369
0.01989	0.04487
0.01503	0.03884
0.01082	0.03257
0.00706	0.02587
0.00482	0.021
0.00221	0.01365
0.0008	0.00745
0.00019	0.00286
0.00005	-0.00138
0.00083	-0.00593
0.00139	-0.0069
0.00312	-0.00872
0.0079	-0.01068
0.01449	-0.0115
0.02138	-0.01185
0.0333	-0.01196
0.04627	-0.01153
0.06389	-0.0104
0.08117	-0.00888
0.10354	-0.00663
0.12948	-0.00369
0.16404	0.00134
0.201	0.00781
0.25115	0.0169
0.2961	0.02479
0.33392	0.031
0.3816	0.03816
0.43006	0.04455
0.4794	0.05004
0.52654	0.05432
0.57684	0.05747
0.63172	0.05939
0.67649	0.0598
0.71559	0.05921
0.73675	0.05844
0.76333	0.05703
0.78942	0.05506
0.80947	0.0531
0.83028	0.05062
0.86994	0.04446
0.89924	0.03838
0.92149	0.03274
0.94479	0.02561
0.95707	0.02117
0.97177	0.01493
0.989	0.0057
0.99231	0.00363
0.998	-0.00013
1	0
